browser;webbasemark;jetstream;motionmark;speedometer;html5;tab_ram;idle_ram
LibreWolf;1028.88;132.63;863.01;138.33;465.00;3111.35;3681.00
GNOME Web;654.54;213.09;452.73;201.00;448.00;2887.93;3661.00
Tor;0.00;0.00;450.78;0.00;416.00;1871.41;3640.00
Floorp;824.92;0.00;431.33;181.67;466.00;4066.63;3504.00
Chromium;1372.84;243.59;1040.69;232.27;526.00;5244.21;3357.00
Konqueror;1512.04;180.26;784.18;150.60;519.00;2488.30;3255.00
Falkon;1464.83;186.24;801.05;137.33;472.00;4886.64;3253.00
Firefox;1310.60;144.46;1022.16;194.67;464.00;3916.44;3241.00
Brave;1526.39;242.09;1026.79;229.00;521.00;4038.66;3238.00
Edge;1262.64;227.61;884.94;180.17;476.00;5865.22;3228.00
Yandex;1277.99;220.46;837.22;181.00;526.00;5920.19;3203.00
Opera;1254.97;233.33;843.29;165.67;524.00;5755.09;3150.00
Chrome;1560.10;244.43;1020.75;233.33;528.00;5942.88;3109.00
Pale Moon;832.33;0.00;546.17;55.67;439.00;1833.08;3100.00
Waterfox;791.25;132.50;536.73;148.67;468.00;2721.53;3028.00
Midori;637.13;203.87;431.59;188.00;448.00;1645.38;2889.00
qutebrowser;1420.12;180.41;712.84;143.77;472.00;2218.41;2887.00
Vivaldi;1228.52;227.55;744.37;190.00;471.00;5319.57;2865.00
NetSurf;0.00;0.00;0.00;0.00;0.00;95.00;2847.00
Ungoogled Chromium;1268.05;228.15;887.89;185.33;526.00;4376.47;2599.00
